match_id,team_1,team_2,stage,match_date,kickoff_time,match_datetime,venue,status,kickoff_time_ist
1,Mexico,South Africa,Group A,2026-06-11,15:00,2026-06-11 15:00:00,"Estadio Azteca; Mexico City, MEX",Scheduled,00:30
2,South Korea,Czechia,Group A,2026-06-11,22:00,2026-06-11 22:00:00,"Estadio Akron; Guadalajara, MEX",Scheduled,07:30
3,Canada,Bosnia and Herzegovina,Group B,2026-06-12,15:00,2026-06-12 15:00:00,"BMO Field; Toronto, CAN",Scheduled,00:30
4,United States,Paraguay,Group D,2026-06-12,21:00,2026-06-12 21:00:00,"SoFi Stadium; Inglewood, CA",Scheduled,06:30
5,Qatar,Switzerland,Group B,2026-06-13,15:00,2026-06-13 15:00:00,"Levi's Stadium; Santa Clara, CA",Scheduled,00:30
6,Brazil,Morocco,Group C,2026-06-13,18:00,2026-06-13 18:00:00,"MetLife Stadium; East Rutherford, NJ",Scheduled,03:30
7,Haiti,Scotland,Group C,2026-06-13,21:00,2026-06-13 21:00:00,"Gillette Stadium; Foxborough, MA",Scheduled,06:30
8,Australia,Türkiye,Group D,2026-06-14,00:00,2026-06-14 00:00:00,"BC Place; Vancouver, CAN",Scheduled,09:30
9,Germany,Curacao,Group E,2026-06-14,13:00,2026-06-14 13:00:00,"NRG Stadium; Houston, TX",Scheduled,22:30
10,Netherlands,Japan,Group F,2026-06-14,16:00,2026-06-14 16:00:00,"AT&T Stadium; Arlington, TX",Scheduled,01:30
11,Ivory Coast,Ecuador,Group E,2026-06-14,19:00,2026-06-14 19:00:00,"Lincoln Financial Field; Philadelphia, PA",Scheduled,04:30
12,Sweden,Tunisia,Group F,2026-06-14,22:00,2026-06-14 22:00:00,"Estadio BBVA Bancomer; Monterrey, MEX",Scheduled,07:30
13,Spain,Cape Verde,Group H,2026-06-15,12:00,2026-06-15 12:00:00,"Mercedes-Benz Stadium; Atlanta, GA",Scheduled,21:30
14,Belgium,Egypt,Group G,2026-06-15,15:00,2026-06-15 15:00:00,"Lumen Field; Seattle, WA",Scheduled,00:30
15,Saudi Arabia,Uruguay,Group H,2026-06-15,18:00,2026-06-15 18:00:00,"Hard Rock Stadium; Miami, FL",Scheduled,03:30
16,Iran,New Zealand,Group G,2026-06-15,21:00,2026-06-15 21:00:00,"SoFi Stadium; Inglewood, CA",Scheduled,06:30
17,France,Senegal,Group I,2026-06-16,15:00,2026-06-16 15:00:00,"MetLife Stadium; East Rutherford, NJ",Scheduled,00:30
18,Iraq,Norway,Group I,2026-06-16,18:00,2026-06-16 18:00:00,"Gillette Stadium; Foxborough, MA",Scheduled,03:30
19,Argentina,Algeria,Group J,2026-06-16,21:00,2026-06-16 21:00:00,"Arrowhead Stadium; Kansas City, MO",Scheduled,06:30
20,Austria,Jordan,Group J,2026-06-17,00:00,2026-06-17 00:00:00,"Levi's Stadium; Santa Clara, CA",Scheduled,09:30
21,Portugal,Congo DR,Group K,2026-06-17,13:00,2026-06-17 13:00:00,"NRG Stadium; Houston, TX",Scheduled,22:30
22,England,Croatia,Group K,2026-06-17,16:00,2026-06-17 16:00:00,"AT&T Stadium; Arlington, TX",Scheduled,01:30
